date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:51	304/304	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202019%2017:58:56%20GMT	http://www.nurseitmukaytegin.com/robots.txt		(from )
23:28:53	50405/50405	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:58:57%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/index.html	(from )
23:28:56	105242/105242	---M--	200	added ('OK')	text/css	etag:%225d2b340b-19b1a%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/css/plugins.css	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/css/plugins.css	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:28:57	190442/190442	---M--	200	added ('OK')	text/css	etag:%225d2b340b-2e7ea%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/css/style.css	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/css/style.css	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:28:58	4395/4395	---M--	200	added ('OK')	image/png	etag:%225d2b3415-112b%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-loader.png	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-loader.png	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:00	3895/3895	---M--	200	added ('OK')	image/png	etag:%225d2b3415-f37%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-white.png	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-white.png	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:00	3913/3913	---M--	200	added ('OK')	image/png	etag:%225d2b3414-f49%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-black.png	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/images/logo/logo-black.png	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:00	50405/50405	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:04%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/index.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/index-2.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:04	45662/45662	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:06%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/video_home.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/video_home.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:05	49159/49159	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:06%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/home_fullscreen.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/home_fullscreen.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:06	45742/45742	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:07%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/home_particles.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/home_particles.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:07	45713/45713	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:08%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/home_typewriter.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/home_typewriter.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:18	36173/36173	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:11%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/about.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/about.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:20	41688/41688	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:23%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/services.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/services.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:22	33830/33830	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:26%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/portfolio.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/portfolio.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:24	20534/20534	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:28%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/portfolio_full_screen.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/portfolio_full_screen.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:26	24296/24296	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:30%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/portfolio_slider.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/portfolio_slider.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:28	18491/18491	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:32%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/portfolio_columns_slider.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/portfolio_columns_slider.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:30	22987/22987	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2017:59:34%20GMT	http://www.nurseitmukaytegin.com/envato-templates/xen/portfolio_filter.html	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/portfolio_filter.html	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
23:29:30	131142/131142	---M--	200	added ('OK')	image/jpeg	etag:%225d2b3411-20046%22	http://www.nurseitmukaytegin.com/envato-templates/xen/assets/images/backgrounds/pexels-photo-1806031.jpeg	C:/stentor/stentoe/www.nurseitmukaytegin.com/envato-templates/xen/assets/images/backgrounds/pexels-photo-1806031.jpg	(from http://www.nurseitmukaytegin.com/envato-templates/xen/)
